"","Perioden","PrijsindexVerkoopprijzen_1","OntwikkelingTOVVoorgaandePeriode_2","OntwikkelingTOVEenJaarEerder_3","VerkochteWoningen_4","OntwikkelingTOVVoorgaandePeriode_5","OntwikkelingTOVEenJaarEerder_6","GemiddeldeVerkoopprijs_7","TotaleWaardeVerkoopprijzen_8"
"57","1998MM05",39.4,0.7,9.8,16299,7.6,3.9,122503,1997
"58","1998MM06",39.9,1.2,10.3,15966,-2,-1.1,121460,1939
"59","1998KW02",39.5,2.6,10,47410,24.3,0.5,121358,5754
"60","1998MM07",40.2,1,10.1,19679,23.3,6.5,126636,2492
"61","1998MM08",40.8,1.4,10.2,16435,-16.5,6,127865,2101
"62","1998MM09",41.3,1.2,11.5,15039,-8.5,-3.8,127758,1921
"63","1998KW03",40.8,3.3,10.6,51153,7.9,3.1,127361,6515
"64","1998MM10",41.6,0.7,10.7,16428,9.2,-1.3,128238,2107
"65","1998MM11",42,1,11,16189,-1.5,12.3,127574,2065
"66","1998MM12",42.1,0.2,11.1,23314,44,5.8,129378,3016
"67","1998KW04",41.9,2.6,11,55931,9.3,5.3,128521,7188
"68","1998JJ00",40.1,10.5,10.5,192622,3.8,3.8,124540,23989
"69","1999MM01",42.9,2.1,12.7,10756,-53.9,6.7,130266,1401
"70","1999MM02",43.3,0.8,12.4,13909,29.3,10.1,130784,1819
"71","1999MM03",43.9,1.4,13.4,17558,26.2,14,133544,2345
"72","1999KW01",43.4,3.6,12.8,42223,-24.5,10.7,131800,5565
"73","1999MM04",44.6,1.5,13.9,17210,-2,13.6,138285,2380
"74","1999MM05",45.3,1.6,15,15879,-7.7,-2.6,138572,2200
"75","1999MM06",46,1.6,15.4,17122,7.8,7.2,141717,2426
"76","1999KW02",45.3,4.4,14.8,50211,18.9,5.9,139546,7007
"77","1999MM07",46.8,1.8,16.3,20455,19.5,3.9,146087,2988
"78","1999MM08",47.7,2,17,18760,-8.3,14.1,148966,2795
"79","1999MM09",48.3,1.1,16.9,16360,-12.8,8.8,151863,2484
"80","1999KW03",47.6,5.1,16.7,55575,10.7,8.6,148759,8267
"81","1999MM10",49.1,1.8,18.3,16691,2,1.6,154989,2587
"82","1999MM11",49.8,1.4,18.8,17482,4.7,8,155171,2713
"83","1999MM12",50.2,0.6,19.2,22356,27.9,-4.1,155389,3474
"84","1999KW04",49.7,4.4,18.8,56529,1.7,1.1,155204,8774
"85","1999JJ00",46.5,15.8,15.8,204538,6.2,6.2,144778,29613
"86","2000MM01",51.2,2,19.1,10794,-51.7,0.4,157270,1698
"87","2000MM02",51.9,1.4,19.8,13563,25.7,-2.5,158416,2149
"88","2000MM03",52.5,1.2,19.6,15286,12.7,-12.9,161686,2472
"89","2000KW01",51.8,4.3,19.5,39643,-29.9,-6.1,159365,6318
"90","2000MM04",53.1,1.1,19.1,13875,-9.2,-19.4,164483,2282
"91","2000MM05",53.8,1.4,18.9,18593,34,17.1,168035,3124
"92","2000MM06",54.6,1.4,18.6,14630,-21.3,-14.6,169998,2487
"93","2000KW02",53.8,3.8,18.9,47098,18.8,-6.2,167599,7894
"94","2000MM07",55.4,1.5,18.3,17197,17.5,-15.9,174945,3009
"95","2000MM08",56,1.1,17.3,16264,-5.4,-13.3,177859,2893
"96","2000MM09",56.7,1.2,17.5,15333,-5.7,-6.3,179940,2759
"97","2000KW03",56,4.1,17.7,48794,3.6,-12.2,177486,8660
"98","2000MM10",57.1,0.6,16.1,15792,3,-5.4,180317,2848
"99","2000MM11",57.4,0.6,15.2,15121,-4.2,-13.5,176972,2676
"100","2000MM12",57.6,0.3,14.8,22910,51.5,2.5,182625,4184
"101","2000KW04",57.3,2.3,15.4,53823,10.3,-4.8,180360,9707
"102","2000JJ00",54.8,17.8,17.8,189358,-7.4,-7.4,172050,32579
"103","2001MM01",58.2,1.1,13.8,10341,-54.9,-4.2,177558,1836
